Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Request Day,Trip Duration(minutes)
1,Airport,285,Trip Completed,2016-07-11 00:20,2016-07-11 00:51,0,Monday,31
2,Airport,,No Cars Available,2016-07-11 00:23,,0,Monday,
3,Airport,80,Trip Completed,2016-07-11 00:24,2016-07-11 01:31,0,Monday,67
4,City,,No Cars Available,2016-07-11 00:37,,0,Monday,
5,Airport,264,Trip Completed,2016-07-11 00:36,2016-07-11 01:35,0,Monday,59
6,City,,No Cars Available,2016-07-11 00:36,,0,Monday,
7,Airport,,No Cars Available,2016-07-11 00:30,,0,Monday,
8,City,,No Cars Available,2016-07-11 00:40,,0,Monday,
9,Airport,235,Trip Completed,2016-07-11 00:45,2016-07-11 02:00,0,Monday,75
10,City,228,Trip Completed,2016-07-11 00:54,2016-07-11 01:59,0,Monday,65
11,City,198,Trip Completed,2016-07-11 01:00,2016-07-11 01:53,1,Monday,53
12,City,,No Cars Available,2016-07-11 01:08,,1,Monday,
13,City,119,Trip Completed,2016-07-11 01:08,2016-07-11 01:58,1,Monday,50
14,Airport,,No Cars Available,2016-07-11 01:10,,1,Monday,
15,City,,No Cars Available,2016-07-11 01:15,,1,Monday,
16,Airport,,No Cars Available,2016-07-11 01:09,,1,Monday,
17,Airport,,No Cars Available,2016-07-11 01:16,,1,Monday,
18,City,201,Cancelled,2016-07-11 01:16,,1,Monday,
19,City,,No Cars Available,2016-07-11 01:14,,1,Monday,
20,Airport,,No Cars Available,2016-07-11 01:23,,1,Monday,
21,Airport,194,Trip Completed,2016-07-11 01:29,2016-07-11 02:05,1,Monday,36
22,Airport,,No Cars Available,2016-07-11 01:40,,1,Monday,
23,City,,No Cars Available,2016-07-11 01:38,,1,Monday,
24,Airport,,No Cars Available,2016-07-11 01:48,,1,Monday,
25,Airport,,No Cars Available,2016-07-11 01:45,,1,Monday,
26,Airport,,No Cars Available,2016-07-11 01:49,,1,Monday,
27,Airport,,No Cars Available,2016-07-11 01:49,,1,Monday,
28,City,,No Cars Available,2016-07-11 02:02,,2,Monday,
29,City,,No Cars Available,2016-07-11 01:55,,1,Monday,
30,Airport,297,Trip Completed,2016-07-11 02:04,2016-07-11 02:37,2,Monday,33
31,City,,No Cars Available,2016-07-11 02:10,,2,Monday,
32,Airport,,No Cars Available,2016-07-11 02:15,,2,Monday,
33,Airport,170,Trip Completed,2016-07-11 02:17,2016-07-11 03:31,2,Monday,74
34,City,78,Trip Completed,2016-07-11 02:20,2016-07-11 03:34,2,Monday,74
35,City,107,Trip Completed,2016-07-11 02:36,2016-07-11 03:03,2,Monday,27
36,City,,No Cars Available,2016-07-11 02:33,,2,Monday,
37,Airport,,No Cars Available,2016-07-11 02:34,,2,Monday,
38,City,,No Cars Available,2016-07-11 02:39,,2,Monday,
39,Airport,,No Cars Available,2016-07-11 02:48,,2,Monday,
40,Airport,,No Cars Available,2016-07-11 02:42,,2,Monday,
41,City,109,Trip Completed,2016-07-11 02:47,2016-07-11 03:23,2,Monday,36
42,Airport,,No Cars Available,2016-07-11 02:55,,2,Monday,
43,City,,No Cars Available,2016-07-11 03:06,,3,Monday,
44,Airport,,No Cars Available,2016-07-11 03:07,,3,Monday,
45,Airport,12,Trip Completed,2016-07-11 03:17,2016-07-11 04:09,3,Monday,52
46,Airport,,No Cars Available,2016-07-11 03:16,,3,Monday,
47,City,124,Trip Completed,2016-07-11 03:22,2016-07-11 04:35,3,Monday,73
48,City,150,Trip Completed,2016-07-11 03:14,2016-07-11 04:19,3,Monday,65
49,Airport,,No Cars Available,2016-07-11 03:29,,3,Monday,
50,City,100,Trip Completed,2016-07-11 03:22,2016-07-11 03:57,3,Monday,35
51,City,86,Trip Completed,2016-07-11 03:34,2016-07-11 04:33,3,Monday,59
52,City,,No Cars Available,2016-07-11 03:30,,3,Monday,
53,Airport,95,Trip Completed,2016-07-11 03:30,2016-07-11 04:22,3,Monday,52
54,City,,No Cars Available,2016-07-11 03:34,,3,Monday,
55,Airport,,No Cars Available,2016-07-11 03:41,,3,Monday,
56,City,,No Cars Available,2016-07-11 03:58,,3,Monday,
57,City,,No Cars Available,2016-07-11 03:52,,3,Monday,
58,Airport,,No Cars Available,2016-07-11 04:03,,4,Monday,
59,City,,No Cars Available,2016-07-11 03:58,,3,Monday,
60,City,141,Trip Completed,2016-07-11 03:57,2016-07-11 04:46,3,Monday,49
61,Airport,,No Cars Available,2016-07-11 04:05,,4,Monday,
62,Airport,,No Cars Available,2016-07-11 04:10,,4,Monday,
63,Airport,,No Cars Available,2016-07-11 04:17,,4,Monday,
64,City,52,Trip Completed,2016-07-11 04:16,2016-07-11 05:28,4,Monday,72
65,Airport,,No Cars Available,2016-07-11 04:23,,4,Monday,
66,City,255,Trip Completed,2016-07-11 04:21,2016-07-11 04:54,4,Monday,33
67,Airport,,No Cars Available,2016-07-11 04:24,,4,Monday,
68,Airport,,No Cars Available,2016-07-11 04:27,,4,Monday,
69,Airport,,No Cars Available,2016-07-11 04:27,,4,Monday,
70,City,80,Trip Completed,2016-07-11 04:34,2016-07-11 05:30,4,Monday,56
71,City,,No Cars Available,2016-07-11 04:37,,4,Monday,
72,City,,No Cars Available,2016-07-11 04:36,,4,Monday,
73,Airport,,No Cars Available,2016-07-11 04:36,,4,Monday,
74,Airport,239,Trip Completed,2016-07-11 04:38,2016-07-11 05:44,4,Monday,66
75,Airport,,No Cars Available,2016-07-11 04:40,,4,Monday,
76,City,158,Cancelled,2016-07-11 04:45,,4,Monday,
77,City,171,Cancelled,2016-07-11 04:46,,4,Monday,
78,City,,No Cars Available,2016-07-11 04:45,,4,Monday,
